,Vent Site,Phylum,Class,Order,Family,Genus,SUM,Normalized Counts,Normalized Counts,,
143,Anenome,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,85391,5.438730133,5.438730133,,
155,Anenome,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Caminibacter,2399,0.152797292,0.152797292,,
157,Anenome,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Nautiliaceae_unclassified,193,0.012292571,0.012292571,,
161,Anenome,Euryarchaeota,Euryarchaeota_unclassified,Euryarchaeota_unclassified,Euryarchaeota_unclassified,Euryarchaeota_unclassified,3345,0.213049997,0.213049997,,
162,Anenome,Euryarchaeota,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus,693678,44.18179247,44.18179247,,
164,Anenome,Euryarchaeota,Methanococci,Methanococcales,Methanococcaceae,Methanotorris,626,0.03987124,0.03987124,,
165,Anenome,Euryarchaeota,Methanococci,Methanococcales,Methanococcales_unclassified,Methanococcales_unclassified,8486,0.540490964,0.540490964,,
167,Anenome,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus,73,0.004649522,0.004649522,,
168,Anenome,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcaceae_unclassified,2579,0.164261866,0.164261866,,
169,Anenome,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,13093,0.833920362,0.833920362,,
