,Sample.Name,Phylum,Class,Order,Family,Genus,Count,,,,
2999,FS904_55_12H,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Lebetimonas,389,0.006318815,0.006318815,,
3000,FS904_55_12H,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Nautilia,7107,0.115444255,0.115444255,,
3001,FS904_55_12H,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Nautiliaceae_ge,391,0.006351302,0.006351302,,
3002,FS904_55_12H,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Nautiliaceae_unclassified,67286,1.09297624,1.09297624,,
3003,FS904_55_12H,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Thioreductor,374,0.006075158,0.006075158,,
3004,FS904_55_12H,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,uncultured,14949,0.242827658,0.242827658,,
3006,FS904_55_12H,Epsilonbacteraeota,Epsilonbacteraeota_unclassified,Epsilonbacteraeota_unclassified,Epsilonbacteraeota_unclassified,Epsilonbacteraeota_unclassified,405,0.006578714,0.006578714,,
3007,FS904_55_12H,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,1556075,25.27647656,25.27647656,,
3012,FS904_55_12H,Euryarchaeota,Methanococci,Methanococcales,Methanococcaceae,Methanococcaceae_unclassified,2035,0.033056009,0.033056009,,
3014,FS904_55_12H,Euryarchaeota,Methanococci,Methanococcales,Methanococcaceae,Methanothermococcus,43239,0.702363042,0.702363042,,
3017,FS904_55_12H,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillaceae_unclassified,4973,0.080780115,0.080780115,,
3018,FS904_55_12H,Firmicutes,Bacilli,Bacillales,Bacillaceae,Vulcanibacillus,12036,0.195509646,0.195509646,,
3019,FS904_55_12H,Firmicutes,Bacilli,Bacillales,Bacillales_unclassified,Bacillales_unclassified,4368,0.070952653,0.070952653,,
3021,FS904_55_12H,Firmicutes,Bacilli,Bacilli_unclassified,Bacilli_unclassified,Bacilli_unclassified,3225,0.052386059,0.052386059,,
3027,FS904_55_12H,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_3,Caloranaerobacter,387,0.006286327,0.006286327,,
3032,FS904_55_12H,Firmicutes,Firmicutes_unclassified,Firmicutes_unclassified,Firmicutes_unclassified,Firmicutes_unclassified,12417,0.20169851,0.20169851,,
3108,FS904_55_12H,Proteobacteria,Proteobacteria_unclassified,Proteobacteria_unclassified,Proteobacteria_unclassified,Proteobacteria_unclassified,460,0.00747212,0.00747212,,
3117,FS904_55_12H,Thermotogae,Thermotogae,Petrotogales,Petrotogaceae,Marinitoga,12715,0.206539145,0.206539145,6156218,
3135,FS904_80_12H,Aquificae,Aquificae_unclassified,Aquificae_unclassified,Aquificae_unclassified,Aquificae_unclassified,39999,0.307848012,0.307848012,,
3136,FS904_80_12H,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Balnearium,7509,0.057792213,0.057792213,,
3137,FS904_80_12H,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacteriaceae_unclassified,5237995,40.31366648,40.31366648,,
3138,FS904_80_12H,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacterium,1244266,9.57635976,9.57635976,,
3139,FS904_80_12H,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Thermovibrio,2703046,20.8037035,20.8037035,,
3140,FS904_80_12H,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,5333,0.041044862,0.041044862,,
3149,FS904_80_12H,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,134288,1.033533183,1.033533183,,
3165,FS904_80_12H,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Nitratiruptoraceae,Hydrogenimonas,573,0.004410033,0.004410033,,
3167,FS904_80_12H,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Nitratiruptoraceae,Nitratiruptoraceae_unclassified,610,0.0046948,0.0046948,,
3175,FS904_80_12H,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,201148,1.548113999,1.548113999,,
3179,FS904_80_12H,Euryarchaeota,Euryarchaeota_unclassified,Euryarchaeota_unclassified,Euryarchaeota_unclassified,Euryarchaeota_unclassified,7360,0.05664545,0.05664545,,
3180,FS904_80_12H,Euryarchaeota,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus,25078,0.193010136,0.193010136,,
3181,FS904_80_12H,Euryarchaeota,Methanococci,Methanococcales,Methanococcaceae,Methanococcaceae_unclassified,13110,0.100899708,0.100899708,,
3184,FS904_80_12H,Euryarchaeota,Methanococci,Methanococcales,Methanococcaceae,Methanotorris,3144111,24.19831295,24.19831295,,
3185,FS904_80_12H,Euryarchaeota,Methanococci,Methanococcales,Methanococcales_unclassified,Methanococcales_unclassified,18779,0.144530559,0.144530559,,
3189,FS904_80_12H,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcaceae_unclassified,48123,0.370373506,0.370373506,,
3190,FS904_80_12H,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,159231,1.225504306,1.225504306,,
3240,FS904_80_12H,Thermotogae,Thermotogae,Thermotogae_unclassified,Thermotogae_unclassified,Thermotogae_unclassified,818,0.006295649,0.006295649,,
3241,FS904_80_12H,Thermotogae,Thermotogae,Thermotogales,Thermotogaceae,Thermotoga,829,0.00638031,0.00638031,,
3242,FS904_80_12H,Thermotogae,Thermotogae,Thermotogales,Thermotogaceae,Thermotogaceae_unclassified,139,0.001069799,0.001069799,,
3243,FS904_80_12H,Thermotogae,Thermotogae,Thermotogales,Thermotogales_unclassified,Thermotogales_unclassified,755,0.005810776,0.005810776,12993100,
3273,FS904_30_12L,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacteriaceae_unclassified,1108,0.01070493,0.01070493,,
3274,FS904_30_12L,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacterium,1986,0.019187718,0.019187718,,
3279,FS904_30_12L,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,315806,3.051156331,3.051156331,,
3337,FS904_30_12L,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Arcobacteraceae,Arcobacter,16191,0.156429175,0.156429175,,
3340,FS904_30_12L,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Campylobacterales_unclassified,Campylobacterales_unclassified,960552,9.280362994,9.280362994,,
3346,FS904_30_12L,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Nitratiruptoraceae,Hydrogenimonas,704273,6.804326144,6.804326144,,
3347,FS904_30_12L,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Nitratiruptoraceae,Nitratiruptor,57011,0.550811174,0.550811174,,
3348,FS904_30_12L,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Nitratiruptoraceae,Nitratiruptoraceae_unclassified,805847,7.785682272,7.785682272,,
3349,FS904_30_12L,Epsilonbacteraeota,Campylobacteria,Campylobacterales,P6-b51,P6-b51_ge,769,0.007429685,0.007429685,,
3352,FS904_30_12L,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Sulfurovaceae,Nitratifractor,1504,0.01453088,0.01453088,,
3353,FS904_30_12L,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Sulfurovaceae,Sulfurovaceae_unclassified,5691,0.054983536,0.054983536,,
3354,FS904_30_12L,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Sulfurovaceae,Sulfurovum,11803,0.11403456,0.11403456,,
3355,FS904_30_12L,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Thiovulaceae,Sulfuricurvum,1022,0.009874042,0.009874042,,
3356,FS904_30_12L,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Thiovulaceae,Sulfurimonas,3460505,33.43363248,33.43363248,,
3357,FS904_30_12L,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Thiovulaceae,Thiovulaceae_unclassified,89406,0.863795124,0.863795124,,
3359,FS904_30_12L,Epsilonbacteraeota,Campylobacteria,Campylobacteria_unclassified,Campylobacteria_unclassified,Campylobacteria_unclassified,50656,0.489412409,0.489412409,,
3360,FS904_30_12L,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Caminibacter,931,0.008994847,0.008994847,,
3364,FS904_30_12L,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Nautiliaceae_unclassified,2026,0.019574178,0.019574178,,
3365,FS904_30_12L,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Thioreductor,824,0.007961067,0.007961067,,
3366,FS904_30_12L,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,uncultured,699,0.006753381,0.006753381,,
3369,FS904_30_12L,Epsilonbacteraeota,Epsilonbacteraeota_unclassified,Epsilonbacteraeota_unclassified,Epsilonbacteraeota_unclassified,Epsilonbacteraeota_unclassified,388,0.003748658,0.003748658,,
3370,FS904_30_12L,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,3514489,33.95519832,33.95519832,,
3379,FS904_30_12L,Euryarchaeota,Methanococci,Methanococcales,Methanococcaceae,Methanothermococcus,535,0.005168897,0.005168897,,
3546,FS904_30_12L,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,19163,0.185143122,0.185143122,,
3558,FS904_30_12L,Proteobacteria,Gammaproteobacteria,Thiomicrospirales,Thiomicrospiraceae,Hydrogenovibrio,148246,1.432277162,1.432277162,,
3559,FS904_30_12L,Proteobacteria,Gammaproteobacteria,Thiomicrospirales,Thiomicrospiraceae,Thiomicrorhabdus,2268,0.021912258,0.021912258,,
3560,FS904_30_12L,Proteobacteria,Gammaproteobacteria,Thiomicrospirales,Thiomicrospiraceae,Thiomicrospira,36428,0.351948737,0.351948737,,
3561,FS904_30_12L,Proteobacteria,Gammaproteobacteria,Thiomicrospirales,Thiomicrospiraceae,Thiomicrospiraceae_unclassified,137973,1.333024681,1.333024681,,
3573,FS904_30_12L,Proteobacteria,Proteobacteria_unclassified,Proteobacteria_unclassified,Proteobacteria_unclassified,Proteobacteria_unclassified,2271,0.021941242,0.021941242,10350371,
3622,FS904_55_12L,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacteriaceae_unclassified,761,0.007132874,0.007132874,,
3623,FS904_55_12L,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacterium,1221,0.011444467,0.011444467,,
3630,FS904_55_12L,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,353535,3.313693403,3.313693403,,
3641,FS904_55_12L,Bacteroidetes,Ignavibacteria,Ignavibacteriales,Ignavibacteriales_unclassified,Ignavibacteriales_unclassified,912,0.008548201,0.008548201,,
3645,FS904_55_12L,Calditrichaeota,Calditrichia,Calditrichales,Calditrichaceae,Caldithrix,16137,0.151252551,0.151252551,,
3647,FS904_55_12L,Calditrichaeota,Calditrichia,Calditrichales,Calditrichaceae,Calditrichaceae_unclassified,4059,0.03804512,0.03804512,,
3670,FS904_55_12L,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Campylobacterales_unclassified,Campylobacterales_unclassified,1265427,11.86088252,11.86088252,,
3676,FS904_55_12L,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Nitratiruptoraceae,Hydrogenimonas,2427904,22.75681182,22.75681182,,
3677,FS904_55_12L,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Nitratiruptoraceae,Nitratiruptor,378717,3.549724991,3.549724991,,
3678,FS904_55_12L,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Nitratiruptoraceae,Nitratiruptoraceae_unclassified,2991686,28.04115622,28.04115622,,
3679,FS904_55_12L,Epsilonbacteraeota,Campylobacteria,Campylobacterales,P6-b51,P6-b51_ge,1408,0.013197223,0.013197223,,
3681,FS904_55_12L,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Sulfurovaceae,Nitratifractor,789,0.007395319,0.007395319,,
3684,FS904_55_12L,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Thiovulaceae,Sulfurimonas,1162,0.010891458,0.010891458,,
3686,FS904_55_12L,Epsilonbacteraeota,Campylobacteria,Campylobacteria_unclassified,Campylobacteria_unclassified,Campylobacteria_unclassified,86820,0.813766278,0.813766278,,
3687,FS904_55_12L,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Caminibacter,916673,8.592001564,8.592001564,,
3688,FS904_55_12L,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Lebetimonas,990,0.009279298,0.009279298,,
3689,FS904_55_12L,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Nautilia,10824,0.101453654,0.101453654,,
3690,FS904_55_12L,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Nautiliaceae_ge,636,0.005961246,0.005961246,,
3691,FS904_55_12L,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Nautiliaceae_unclassified,134970,1.26507757,1.26507757,,
3692,FS904_55_12L,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Thioreductor,683,0.006401778,0.006401778,,
3693,FS904_55_12L,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,uncultured,27461,0.257392718,0.257392718,,
3697,FS904_55_12L,Epsilonbacteraeota,Epsilonbacteraeota_unclassified,Epsilonbacteraeota_unclassified,Epsilonbacteraeota_unclassified,Epsilonbacteraeota_unclassified,745,0.006982906,0.006982906,,
3698,FS904_55_12L,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,1800925,16.88012019,16.88012019,,
3704,FS904_55_12L,Euryarchaeota,Methanococci,Methanococcales,Methanococcaceae,Methanococcaceae_unclassified,6364,0.059649949,0.059649949,,
3706,FS904_55_12L,Euryarchaeota,Methanococci,Methanococcales,Methanococcaceae,Methanothermococcus,130122,1.219637131,1.219637131,,
3708,FS904_55_12L,Euryarchaeota,Methanococci,Methanococcales,Methanococcales_unclassified,Methanococcales_unclassified,441,0.004133505,0.004133505,,
3714,FS904_55_12L,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillaceae_unclassified,10495,0.098369927,0.098369927,,
3716,FS904_55_12L,Firmicutes,Bacilli,Bacillales,Bacillaceae,Vulcanibacillus,25564,0.239612084,0.239612084,,
3717,FS904_55_12L,Firmicutes,Bacilli,Bacillales,Bacillales_unclassified,Bacillales_unclassified,9414,0.088237684,0.088237684,,
3718,FS904_55_12L,Firmicutes,Bacilli,Bacilli_unclassified,Bacilli_unclassified,Bacilli_unclassified,6675,0.062564961,0.062564961,,
3721,FS904_55_12L,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_3,Caloranaerobacter,852,0.00798582,0.00798582,,
3726,FS904_55_12L,Firmicutes,Firmicutes_unclassified,Firmicutes_unclassified,Firmicutes_unclassified,Firmicutes_unclassified,25865,0.242433366,0.242433366,,
3789,FS904_55_12L,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,696,0.006523627,0.006523627,,
3809,FS904_55_12L,Proteobacteria,Proteobacteria_unclassified,Proteobacteria_unclassified,Proteobacteria_unclassified,Proteobacteria_unclassified,1867,0.017499443,0.017499443,,
3820,FS904_55_12L,Thermotogae,Thermotogae,Petrotogales,Petrotogaceae,Marinitoga,25660,0.240511895,0.240511895,,
3821,FS904_55_12L,Thermotogae,Thermotogae,Petrotogales,Petrotogaceae,Petrotogaceae_unclassified,451,0.004227236,0.004227236,10668911,
3835,FS904_80_12L,Aquificae,Aquificae_unclassified,Aquificae_unclassified,Aquificae_unclassified,Aquificae_unclassified,17642,0.223468216,0.223468216,,
3836,FS904_80_12L,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Balnearium,4335,0.054910708,0.054910708,,
3837,FS904_80_12L,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacteriaceae_unclassified,3001433,38.01864177,38.01864177,,
3838,FS904_80_12L,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacterium,776244,9.83255084,9.83255084,,
3839,FS904_80_12L,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Thermovibrio,1615909,20.46844471,20.46844471,,
3840,FS904_80_12L,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,3350,0.042433881,0.042433881,,
3845,FS904_80_12L,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,57104,0.723326664,0.723326664,,
3867,FS904_80_12L,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,115603,1.464323556,1.464323556,,
3870,FS904_80_12L,Euryarchaeota,Euryarchaeota_unclassified,Euryarchaeota_unclassified,Euryarchaeota_unclassified,Euryarchaeota_unclassified,4396,0.055683385,0.055683385,,
3871,FS904_80_12L,Euryarchaeota,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus,18442,0.23360168,0.23360168,,
3872,FS904_80_12L,Euryarchaeota,Methanococci,Methanococcales,Methanococcaceae,Methanococcaceae_unclassified,7374,0.093405205,0.093405205,,
3874,FS904_80_12L,Euryarchaeota,Methanococci,Methanococcales,Methanococcaceae,Methanotorris,2068653,26.20327602,26.20327602,,
3875,FS904_80_12L,Euryarchaeota,Methanococci,Methanococcales,Methanococcales_unclassified,Methanococcales_unclassified,6646,0.084183753,0.084183753,,
3878,FS904_80_12L,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcaceae_unclassified,48585,0.615417939,0.615417939,,
3879,FS904_80_12L,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,147091,1.863176702,1.863176702,,
3907,FS904_80_12L,Thermotogae,Thermotogae,Thermotogae_unclassified,Thermotogae_unclassified,Thermotogae_unclassified,595,0.007536764,0.007536764,,
3908,FS904_80_12L,Thermotogae,Thermotogae,Thermotogales,Thermotogaceae,Thermotoga,631,0.00799277,0.00799277,,
3910,FS904_80_12L,Thermotogae,Thermotogae,Thermotogales,Thermotogales_unclassified,Thermotogales_unclassified,602,0.007625432,0.007625432,7894635,
3925,FS904_30_13H,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,47106,2.531123208,2.531123208,,
3945,FS904_30_13H,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Arcobacteraceae,Arcobacter,380,0.020418351,0.020418351,,
3948,FS904_30_13H,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Campylobacterales_unclassified,Campylobacterales_unclassified,145883,7.838658493,7.838658493,,
3953,FS904_30_13H,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Nitratiruptoraceae,Hydrogenimonas,102628,5.514459147,5.514459147,,
3954,FS904_30_13H,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Nitratiruptoraceae,Nitratiruptor,3218,0.172911189,0.172911189,,
3955,FS904_30_13H,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Nitratiruptoraceae,Nitratiruptoraceae_unclassified,127735,6.863521059,6.863521059,,
3962,FS904_30_13H,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Thiovulaceae,Sulfurimonas,620871,33.36095184,33.36095184,,
3963,FS904_30_13H,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Thiovulaceae,Thiovulaceae_unclassified,4532,0.243515696,0.243515696,,
3964,FS904_30_13H,Epsilonbacteraeota,Campylobacteria,Campylobacteria_unclassified,Campylobacteria_unclassified,Campylobacteria_unclassified,8520,0.457800911,0.457800911,,
3972,FS904_30_13H,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,782620,42.0521302,42.0521302,,
4025,FS904_30_13H,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,946,0.050830946,0.050830946,,
4032,FS904_30_13H,Proteobacteria,Gammaproteobacteria,Thiomicrospirales,Thiomicrospiraceae,Hydrogenovibrio,7616,0.40922673,0.40922673,,
4034,FS904_30_13H,Proteobacteria,Gammaproteobacteria,Thiomicrospirales,Thiomicrospiraceae,Thiomicrospira,1952,0.104885843,0.104885843,,
4035,FS904_30_13H,Proteobacteria,Gammaproteobacteria,Thiomicrospirales,Thiomicrospiraceae,Thiomicrospiraceae_unclassified,7064,0.379566389,0.379566389,1861071,
4060,FS904_55_13H,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Cutibacterium,517,0.004850236,0.004850236,,
4065,FS904_55_13H,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacterium,443,0.004156005,0.004156005,,
4070,FS904_55_13H,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,331180,3.10696553,3.10696553,,
4077,FS904_55_13H,Bacteroidetes,Ignavibacteria,Ignavibacteriales,Ignavibacteriales_unclassified,Ignavibacteriales_unclassified,777,0.007289426,0.007289426,,
4082,FS904_55_13H,Calditrichaeota,Calditrichia,Calditrichales,Calditrichaceae,Caldithrix,11761,0.110335834,0.110335834,,
4084,FS904_55_13H,Calditrichaeota,Calditrichia,Calditrichales,Calditrichaceae,Calditrichaceae_unclassified,2880,0.027018723,0.027018723,,
4100,FS904_55_13H,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Campylobacterales_unclassified,Campylobacterales_unclassified,1121567,10.52198203,10.52198203,,
4105,FS904_55_13H,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Nitratiruptoraceae,Hydrogenimonas,2479362,23.2601373,23.2601373,,
4106,FS904_55_13H,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Nitratiruptoraceae,Nitratiruptor,384804,3.610039144,3.610039144,,
4107,FS904_55_13H,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Nitratiruptoraceae,Nitratiruptoraceae_unclassified,2991124,28.06123306,28.06123306,,
4108,FS904_55_13H,Epsilonbacteraeota,Campylobacteria,Campylobacterales,P6-b51,P6-b51_ge,1148,0.010769963,0.010769963,,
4110,FS904_55_13H,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Sulfurovaceae,Nitratifractor,664,0.006229317,0.006229317,,
4113,FS904_55_13H,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Thiovulaceae,Sulfurimonas,1189,0.011154605,0.011154605,,
4116,FS904_55_13H,Epsilonbacteraeota,Campylobacteria,Campylobacteria_unclassified,Campylobacteria_unclassified,Campylobacteria_unclassified,88480,0.830075216,0.830075216,,
4117,FS904_55_13H,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Caminibacter,1088781,10.21440014,10.21440014,,
4118,FS904_55_13H,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Lebetimonas,1183,0.011098316,0.011098316,,
4119,FS904_55_13H,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Nautilia,14557,0.136566511,0.136566511,,
4120,FS904_55_13H,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Nautiliaceae_ge,925,0.008677889,0.008677889,,
4121,FS904_55_13H,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Nautiliaceae_unclassified,175190,1.643545175,1.643545175,,
4122,FS904_55_13H,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Thioreductor,1029,0.009653565,0.009653565,,
4123,FS904_55_13H,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,uncultured,39939,0.374687772,0.374687772,,
4127,FS904_55_13H,Epsilonbacteraeota,Epsilonbacteraeota_unclassified,Epsilonbacteraeota_unclassified,Epsilonbacteraeota_unclassified,Epsilonbacteraeota_unclassified,625,0.005863438,0.005863438,,
4128,FS904_55_13H,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,1573726,14.76391218,14.76391218,,
4133,FS904_55_13H,Euryarchaeota,Methanococci,Methanococcales,Methanococcaceae,Methanococcaceae_unclassified,47903,0.449402047,0.449402047,,
4135,FS904_55_13H,Euryarchaeota,Methanococci,Methanococcales,Methanococcaceae,Methanothermococcus,144729,1.357775271,1.357775271,,
4227,FS904_55_13H,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,491,0.004606317,0.004606317,,
4243,FS904_55_13H,Proteobacteria,Proteobacteria_unclassified,Proteobacteria_unclassified,Proteobacteria_unclassified,Proteobacteria_unclassified,1289,0.012092755,0.012092755,,
4250,FS904_55_13H,Thermotogae,Thermotogae,Petrotogales,Petrotogaceae,Marinitoga,149535,1.402862765,1.402862765,,
4251,FS904_55_13H,Thermotogae,Thermotogae,Petrotogales,Petrotogaceae,Petrotogaceae_unclassified,2115,0.019841875,0.019841875,,
4252,FS904_55_13H,Thermotogae,Thermotogae,Thermotogae_unclassified,Thermotogae_unclassified,Thermotogae_unclassified,1362,0.012777604,0.012777604,10659275,
4266,FS904_80_13H,Aquificae,Aquificae_unclassified,Aquificae_unclassified,Aquificae_unclassified,Aquificae_unclassified,25574,0.425067232,0.425067232,,
4267,FS904_80_13H,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Balnearium,3904,0.064888655,0.064888655,,
4268,FS904_80_13H,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacteriaceae_unclassified,2057684,34.20090884,34.20090884,,
4269,FS904_80_13H,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacterium,1671523,27.78250001,27.78250001,,
4270,FS904_80_13H,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Thermovibrio,1018612,16.93042088,16.93042088,,
4271,FS904_80_13H,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,2074,0.034472098,0.034472098,,
4273,FS904_80_13H,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,68015,1.130482044,1.130482044,,
4285,FS904_80_13H,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,96352,1.601473292,1.601473292,,
4286,FS904_80_13H,Euryarchaeota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobaceae_unclassified,5294,0.087991942,0.087991942,,
4287,FS904_80_13H,Euryarchaeota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus,33686,0.559897348,0.559897348,,
