,Sample.Name,Phylum,Class,Order,Family,Genus,Count,,,,
234,FS891_RNA,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Thiovulaceae,Sulfurimonas,113576,8.339384826,8.339384826,,
235,FS891_RNA,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Thiovulaceae,Thiovulaceae_unclassified,441,0.032380685,0.032380685,,
237,FS891_RNA,Epsilonbacteraeota,Campylobacteria,Campylobacteria_unclassified,Campylobacteria_unclassified,Campylobacteria_unclassified,6401,0.469997202,0.469997202,,
238,FS891_RNA,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Caminibacter,13200,0.96921779,0.96921779,,
242,FS891_RNA,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Nautiliaceae_unclassified,9366,0.687704077,0.687704077,,
243,FS891_RNA,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Thioreductor,41590,3.053770294,3.053770294,,
244,FS891_RNA,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,uncultured,1621,0.119022882,0.119022882,,
254,FS891_RNA,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,737819,54.17479549,54.17479549,,
266,FS891_RNA,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,1301,0.095526693,0.095526693,,
268,FS891_RNA,Euryarchaeota,Thermoplasmata,Marine_Group_II,Marine_Group_II_fa,Marine_Group_II_ge,1750,0.128494783,0.128494783,,
269,FS891_RNA,Euryarchaeota,Thermoplasmata,Marine_Group_III,Marine_Group_III_fa,Marine_Group_III_ge,944,0.069313757,0.069313757,,
272,FS891_RNA,Euryarchaeota,Thermoplasmata,Thermoplasmata_unclassified,Thermoplasmata_unclassified,Thermoplasmata_unclassified,1378,0.101180463,0.101180463,,
290,FS891_RNA,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Psychrilyobacter,2671,0.196119751,0.196119751,,
315,FS891_RNA,Lentisphaerae,Lentisphaerae_unclassified,Lentisphaerae_unclassified,Lentisphaerae_unclassified,Lentisphaerae_unclassified,655,0.048093762,0.048093762,,
318,FS891_RNA,Lentisphaerae,Lentisphaeria,Victivallales,BD2-3,BD2-3_ge,800,0.058740472,0.058740472,,
327,FS891_RNA,Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade)_cl,Marinimicrobia_(SAR406_clade)_or,Marinimicrobia_(SAR406_clade)_fa,Marinimicrobia_(SAR406_clade)_ge,2054,0.150816162,0.150816162,,
