,sample_names.1.,Phylum,Class,Order,Family,Genus,SUM
54,FS891_RNA,Asgardaeota,Asgardaeota_unclassified,Asgardaeota_unclassified,Asgardaeota_unclassified,Asgardaeota_unclassified,80
55,FS891_RNA,Asgardaeota,Heimdallarchaeia,Heimdallarchaeia_or,Heimdallarchaeia_fa,Heimdallarchaeia_ge,35
56,FS891_RNA,Asgardaeota,Odinarchaeia,Odinarchaeia_or,Odinarchaeia_fa,Odinarchaeia_ge,48
57,FS891_RNA,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,71152
58,FS891_RNA,Bacteroidetes,Bacteroidetes_unclassified,Bacteroidetes_unclassified,Bacteroidetes_unclassified,Bacteroidetes_unclassified,104
59,FS891_RNA,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,1
60,FS891_RNA,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidales_unclassified,Bacteroidales_unclassified,676
61,FS891_RNA,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidetes_BD2-2,Bacteroidetes_BD2-2_ge,231
62,FS891_RNA,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidetes_vadinHA17,Bacteroidetes_vadinHA17_ge,1
63,FS891_RNA,Bacteroidetes,Bacteroidia,Bacteroidales,Ika33,Ika33_ge,10
64,FS891_RNA,Bacteroidetes,Bacteroidia,Bacteroidales,LKC2.127-25,LKC2.127-25_ge,17
65,FS891_RNA,Bacteroidetes,Bacteroidia,Bacteroidales,Marinifilaceae,Marinifilaceae_unclassified,1
66,FS891_RNA,Bacteroidetes,Bacteroidia,Bacteroidales,Marinifilaceae,Marinifilum,293
67,FS891_RNA,Bacteroidetes,Bacteroidia,Bacteroidales,Marinifilaceae,uncultured,69
68,FS891_RNA,Bacteroidetes,Bacteroidia,Bacteroidales,Marinilabiliaceae,Carboxylicivirga,253
69,FS891_RNA,Bacteroidetes,Bacteroidia,Bacteroidales,Marinilabiliaceae,Marinilabiliaceae_unclassified,70
70,FS891_RNA,Bacteroidetes,Bacteroidia,Bacteroidales,Prolixibacteraceae,Draconibacterium,143
71,FS891_RNA,Bacteroidetes,Bacteroidia,Bacteroidales,Prolixibacteraceae,Prolixibacteraceae_ge,1
72,FS891_RNA,Bacteroidetes,Bacteroidia,Bacteroidales,Prolixibacteraceae,Prolixibacteraceae_unclassified,111
73,FS891_RNA,Bacteroidetes,Bacteroidia,Bacteroidales,Prolixibacteraceae,Roseimarinus,71
74,FS891_RNA,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Rikenella,1
75,FS891_RNA,Bacteroidetes,Bacteroidia,Bacteroidetes_VC2.1_Bac22,Bacteroidetes_VC2.1_Bac22_fa,Bacteroidetes_VC2.1_Bac22_ge,891
