,Year,Phylum,Class,Order,Family,Genus,Species,Normalized.Counts,
247,Marker113 - 55C - 2014,Proteobacteria,Proteobacteria_unclassified,Proteobacteria_unclassified,Proteobacteria_unclassified,Proteobacteria_unclassified,NA,0.002319677,
262,Marker113 - 55C - 2014,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,NA,1.0275182,
263,Marker113 - 55C - 2014,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacteriaceae_unclassified,NA,0.001452262,
280,Marker113 - 55C - 2014,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Arcobacteraceae,Arcobacter,NA,0.003108235,
282,Marker113 - 55C - 2014,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Campylobacterales_unclassified,Campylobacterales_unclassified,NA,0.001504833,
285,Marker113 - 55C - 2014,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Nitratiruptoraceae,Nitratiruptoraceae_unclassified,NA,0.00099227,
291,Marker113 - 55C - 2014,Epsilonbacteraeota,Campylobacteria,Campylobacteria_unclassified,Campylobacteria_unclassified,Campylobacteria_unclassified,NA,0.354765963,
292,Marker113 - 55C - 2014,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Caminibacter,NA,35.83411565,
293,Marker113 - 55C - 2014,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Lebetimonas,NA,0.005237344,
296,Marker113 - 55C - 2014,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Nautiliaceae_unclassified,NA,14.93811326,
298,Marker113 - 55C - 2014,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,uncultured,NA,0.000788559,
299,Marker113 - 55C - 2014,Epsilonbacteraeota,Epsilonbacteraeota_unclassified,Epsilonbacteraeota_unclassified,Epsilonbacteraeota_unclassified,Epsilonbacteraeota_unclassified,NA,0.036405124,
301,Marker113 - 55C - 2014,Euglenozoa,Kinetoplastea,Metakinetoplastina,Metakinetoplastina_unclassified,Metakinetoplastina_unclassified,NA,0.001071125,
304,Marker113 - 55C - 2014,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,NA,2.994558025,
354,Marker113 - 55C - 2014,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfohalobiaceae,Desulfohalobiaceae_unclassified,NA,0.000998841,
361,Marker113 - 55C - 2014,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionales_unclassified,Desulfovibrionales_unclassified,NA,0.001110553,
370,Marker113 - 55C - 2014,Proteobacteria,Gammaproteobacteria,Alteromonadales,Idiomarinaceae,Idiomarina,NA,0.000933128,
372,Marker113 - 55C - 2014,Proteobacteria,Gammaproteobacteria,Alteromonadales,Marinobacteraceae,Marinobacter,NA,0.001892541,
381,Marker113 - 55C - 2014,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,NA,0.003193663,
385,Marker113 - 55C - 2014,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Alcanivoracaceae,Alcanivorax,NA,0.001215695,
391,Marker113 - 55C - 2014,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Saccharospirillaceae,Saccharospirillaceae_unclassified,NA,0.002319677,
392,Marker113 - 55C - 2014,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Saccharospirillaceae,Thalassolituus,NA,0.003969079,
395,Marker113 - 55C - 2014,Proteobacteria,Proteobacteria_unclassified,Proteobacteria_unclassified,Proteobacteria_unclassified,Proteobacteria_unclassified,NA,0.001550832, 
