,Vent.Site,Phylum,Class,Order,Family,Genus,SUM,Normalized.Counts,Normalized.Counts,,
281,Marker 33,Euryarchaeota,Methanococci,Methanococcales,Methanococcales_unclassified,Methanococcales_unclassified,25343,0.099677302,0.099677302,,
313,Marker 33,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Thalassospiraceae,Thalassospira,881,0.003465087,0.003465087,,
339,Marker 33,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,390,0.001533921,0.001533921,,
365,Marker 33,Aquificae,Aquificae,Aquificae_unclassified,Aquificae_unclassified,Aquificae_unclassified,620,0.00243854,0.00243854,,
366,Marker 33,Aquificae,Aquificae,Aquificales,Aquificaceae,Aquifex,660,0.002595866,0.002595866,,
367,Marker 33,Aquificae,Aquificae,Aquificales,Aquificaceae,Aquificaceae_unclassified,1451,0.005706971,0.005706971,,
371,Marker 33,Aquificae,Aquificae,Hydrogenothermales,Hydrogenothermaceae,Hydrogenothermaceae_unclassified,145304,0.571499458,0.571499458,,
372,Marker 33,Aquificae,Aquificae,Hydrogenothermales,Hydrogenothermaceae,Hydrogenothermus,74482,0.292947356,0.292947356,,
373,Marker 33,Aquificae,Aquificae,Hydrogenothermales,Hydrogenothermaceae,Persephonella,95016,0.373710238,0.373710238,,
375,Marker 33,Aquificae,Aquificae_unclassified,Aquificae_unclassified,Aquificae_unclassified,Aquificae_unclassified,13011,0.051173949,0.051173949,,
376,Marker 33,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Balnearium,10870,0.042753118,0.042753118,,25425046
377,Marker 33,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacteriaceae_unclassified,3171188,12.47269326,12.47269326,,
378,Marker 33,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacterium,8046552,31.64813153,31.64813153,,
379,Marker 33,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Thermovibrio,782643,3.078236319,3.078236319,,
395,Marker 33,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,99158,0.390001261,0.390001261,,
475,Marker 33,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Caminibacter,626,0.002462139,0.002462139,,
484,Marker 33,Euryarchaeota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobaceae_unclassified,500,0.001966565,0.001966565,,
485,Marker 33,Euryarchaeota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus,2795,0.010993097,0.010993097,,
489,Marker 33,Euryarchaeota,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus,2211,0.008696149,0.008696149,,
497,Marker 33,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,385,0.001514255,0.001514255,,
581,Marker 33,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Thalassospiraceae,Thalassospira,335,0.001317598,0.001317598,,
652,Marker 33,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,308,0.001211404,0.001211404,,
706,Marker 33,Aquificae,Aquificae_unclassified,Aquificae_unclassified,Aquificae_unclassified,Aquificae_unclassified,113688,0.447149633,0.447149633,,
707,Marker 33,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Balnearium,1607,0.006320539,0.006320539,,
708,Marker 33,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacteriaceae_unclassified,2482503,9.764005933,9.764005933,,
709,Marker 33,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacterium,1032957,4.062753711,4.062753711,,
710,Marker 33,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Thermovibrio,221974,0.873052501,0.873052501,,
712,Marker 33,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,266018,1.046283259,1.046283259,,
724,Marker 33,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Caminibacter,465,0.001828905,0.001828905,,
728,Marker 33,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Thioreductor,641,0.002521136,0.002521136,,
735,Marker 33,Euryarchaeota,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus,492,0.0019351,0.0019351,,
736,Marker 33,Euryarchaeota,Methanococci,Methanococcales,Methanococcaceae,Methanococcaceae_unclassified,502,0.001974431,0.001974431,,
737,Marker 33,Euryarchaeota,Methanococci,Methanococcales,Methanococcaceae,Methanotorris,6061,0.023838698,0.023838698,,
