	Vent.Site	Phylum	Class	Order	Family	Genus	Normalized.Counts
375	Marker 33	Aquificae	Aquificae_unclassified	Aquificae_unclassified	Aquificae_unclassified	Aquificae_unclassified	0.051173949
376	Marker 33	Aquificae	Desulfurobacteriia	Desulfurobacteriales	Desulfurobacteriaceae	Balnearium	0.042753118
377	Marker 33	Aquificae	Desulfurobacteriia	Desulfurobacteriales	Desulfurobacteriaceae	Desulfurobacteriaceae_unclassified	12.47269326
378	Marker 33	Aquificae	Desulfurobacteriia	Desulfurobacteriales	Desulfurobacteriaceae	Desulfurobacterium	31.64813153
379	Marker 33	Aquificae	Desulfurobacteriia	Desulfurobacteriales	Desulfurobacteriaceae	Thermovibrio	3.078236319
395	Marker 33	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	0.390001261
475	Marker 33	Epsilonbacteraeota	Campylobacteria	Nautiliales	Nautiliaceae	Caminibacter	0.002462139
484	Marker 33	Euryarchaeota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	Archaeoglobaceae_unclassified	0.001966565
485	Marker 33	Euryarchaeota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	Archaeoglobus	0.010993097
489	Marker 33	Euryarchaeota	Methanococci	Methanococcales	Methanocaldococcaceae	Methanocaldococcus	0.008696149
497	Marker 33	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	0.001514255
581	Marker 33	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Thalassospiraceae	Thalassospira	0.001317598
652	Marker 33	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_unclassified	Gammaproteobacteria_unclassified	Gammaproteobacteria_unclassified	0.001211404
706	Marker 33	Aquificae	Aquificae_unclassified	Aquificae_unclassified	Aquificae_unclassified	Aquificae_unclassified	0.447149633
707	Marker 33	Aquificae	Desulfurobacteriia	Desulfurobacteriales	Desulfurobacteriaceae	Balnearium	0.006320539
708	Marker 33	Aquificae	Desulfurobacteriia	Desulfurobacteriales	Desulfurobacteriaceae	Desulfurobacteriaceae_unclassified	9.764005933
709	Marker 33	Aquificae	Desulfurobacteriia	Desulfurobacteriales	Desulfurobacteriaceae	Desulfurobacterium	4.062753711
710	Marker 33	Aquificae	Desulfurobacteriia	Desulfurobacteriales	Desulfurobacteriaceae	Thermovibrio	0.873052501
712	Marker 33	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	1.046283259
724	Marker 33	Epsilonbacteraeota	Campylobacteria	Nautiliales	Nautiliaceae	Caminibacter	0.001828905
728	Marker 33	Epsilonbacteraeota	Campylobacteria	Nautiliales	Nautiliaceae	Thioreductor	0.002521136
735	Marker 33	Euryarchaeota	Methanococci	Methanococcales	Methanocaldococcaceae	Methanocaldococcus	0.0019351
736	Marker 33	Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	Methanococcaceae_unclassified	0.001974431
737	Marker 33	Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	Methanotorris	0.023838698
