	Vent.Site	Phylum	Class	Order	Family	Genus	Species	Normalized.Counts	
255	Marker 33	Archaea_unclassified	Archaea_unclassified	Archaea_unclassified	Archaea_unclassified	Archaea_unclassified	NA	0.016466932	
256	Marker 33	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	NA	1.521849961	
272	Marker 33	Eukaryota_unclassified	Eukaryota_unclassified	Eukaryota_unclassified	Eukaryota_unclassified	Eukaryota_unclassified	NA	0.743943817	
274	Marker 33	Euryarchaeota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	Archaeoglobus	NA	0.001024626	
276	Marker 33	Euryarchaeota	Euryarchaeota_unclassified	Euryarchaeota_unclassified	Euryarchaeota_unclassified	Euryarchaeota_unclassified	NA	0.037569625	
277	Marker 33	Euryarchaeota	Methanococci	Methanococcales	Methanocaldococcaceae	Methanocaldococcus	NA	7.49200878	
278	Marker 33	Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	Methanococcaceae_unclassified	NA	0.676882611	
280	Marker 33	Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	Methanotorris	NA	1.585092803	
281	Marker 33	Euryarchaeota	Methanococci	Methanococcales	Methanococcales_unclassified	Methanococcales_unclassified	NA	0.097255057	
304	Marker 33	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria_unclassified	Alphaproteobacteria_unclassified	Alphaproteobacteria_unclassified	NA	0.000414456	
312	Marker 33	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillales_unclassified	Rhodospirillales_unclassified	NA	0.000464344	
313	Marker 33	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Thalassospiraceae	Thalassospira	NA	0.003380883	
322	Marker 33	Proteobacteria	Gammaproteobacteria	Alteromonadales	Marinobacteraceae	Marinobacter	NA	0.000717622	
334	Marker 33	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_unclassified	Gammaproteobacteria_unclassified	Gammaproteobacteria_unclassified	NA	0.000809723	
338	Marker 33	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Halomonadaceae_unclassified	NA	0.000886474	
339	Marker 33	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Halomonas	NA	0.001496645	
345	Marker 33	Thermosulfidibacteraeota	Thermosulfidibacteria	Thermosulfidibacterales	Thermosulfidibacteraceae	Thermosulfidibacter	NA	0.000383755	
365	Marker 33	Aquificae	Aquificae	Aquificae_unclassified	Aquificae_unclassified	Aquificae_unclassified	NA	0.002379282	
366	Marker 33	Aquificae	Aquificae	Aquificales	Aquificaceae	Aquifex	NA	0.002532784	
367	Marker 33	Aquificae	Aquificae	Aquificales	Aquificaceae	Aquificaceae_unclassified	NA	0.005568287	
371	Marker 33	Aquificae	Aquificae	Hydrogenothermales	Hydrogenothermaceae	Hydrogenothermaceae_unclassified	NA	0.557611524	
372	Marker 33	Aquificae	Aquificae	Hydrogenothermales	Hydrogenothermaceae	Hydrogenothermus	NA	0.28582848	
373	Marker 33	Aquificae	Aquificae	Hydrogenothermales	Hydrogenothermaceae	Persephonella	NA	0.364628754	
375	Marker 33	Aquificae	Aquificae_unclassified	Aquificae_unclassified	Aquificae_unclassified	Aquificae_unclassified	NA	0.049930377	
376	Marker 33	Aquificae	Desulfurobacteriia	Desulfurobacteriales	Desulfurobacteriaceae	Balnearium	NA	0.04171418	
377	Marker 33	Aquificae	Desulfurobacteriia	Desulfurobacteriales	Desulfurobacteriaceae	Desulfurobacteriaceae_unclassified	NA	12.16959597	
378	Marker 33	Aquificae	Desulfurobacteriia	Desulfurobacteriales	Desulfurobacteriaceae	Desulfurobacterium	NA	30.8790544	
379	Marker 33	Aquificae	Desulfurobacteriia	Desulfurobacteriales	Desulfurobacteriaceae	Thermovibrio	NA	3.003432498	
380	Marker 33	Archaea_unclassified	Archaea_unclassified	Archaea_unclassified	Archaea_unclassified	Archaea_unclassified	NA	0.000848099	
385	Marker 33	Ascomycota	Ascomycota_unclassified	Ascomycota_unclassified	Ascomycota_unclassified	Ascomycota_unclassified	NA	0.000525744	
388	Marker 33	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	NA	0.001412219	
389	Marker 33	Ascomycota	Dothideomycetes	Dothideomycetes_unclassified	Dothideomycetes_unclassified	Dothideomycetes_unclassified	NA	0.000679247	
395	Marker 33	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	NA	0.380523891	
441	Marker 33	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcales_unclassified	Desulfurococcales_unclassified	NA	0.000725297	
442	Marker 33	Crenarchaeota	Thermoprotei	Desulfurococcales	Ignicoccaceae	Ignicoccus	NA	0.000295491	
453	Marker 33	Cyanobacteria	Oxyphotobacteria	Synechococcales	Cyanobiaceae	Cyanobiaceae_unclassified	NA	0.000990088	
454	Marker 33	Cyanobacteria	Oxyphotobacteria	Synechococcales	Cyanobiaceae	Prochlorococcus_MIT9313	NA	0.004773914	
464	Marker 33	Epsilonbacteraeota	Campylobacteria	Campylobacterales	Campylobacterales_unclassified	Campylobacterales_unclassified	NA	0.000422131	
466	Marker 33	Epsilonbacteraeota	Campylobacteria	Campylobacterales	Nitratiruptoraceae	Hydrogenimonas	NA	0.000456669	
472	Marker 33	Epsilonbacteraeota	Campylobacteria	Campylobacterales	Thiovulaceae	Sulfurimonas	NA	0.000702272	
475	Marker 33	Epsilonbacteraeota	Campylobacteria	Nautiliales	Nautiliaceae	Caminibacter	NA	0.002402307	
478	Marker 33	Epsilonbacteraeota	Campylobacteria	Nautiliales	Nautiliaceae	Nautiliaceae_unclassified	NA	0.000874962	
482	Marker 33	Eukaryota_unclassified	Eukaryota_unclassified	Eukaryota_unclassified	Eukaryota_unclassified	Eukaryota_unclassified	NA	1.231988214	
484	Marker 33	Euryarchaeota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	Archaeoglobaceae_unclassified	NA	0.001918776	
485	Marker 33	Euryarchaeota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	Archaeoglobus	NA	0.010725955	
489	Marker 33	Euryarchaeota	Methanococci	Methanococcales	Methanocaldococcaceae	Methanocaldococcus	NA	0.008484825	
496	Marker 33	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcaceae_unclassified	NA	0.000583308	
497	Marker 33	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	NA	0.001477457	
561	Marker 33	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria_unclassified	Alphaproteobacteria_unclassified	Alphaproteobacteria_unclassified	NA	0.00056412	
570	Marker 33	Proteobacteria	Alphaproteobacteria	Puniceispirillales	SAR116_clade	SAR116_clade_ge	NA	0.000878799	
581	Marker 33	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Thalassospiraceae	Thalassospira	NA	0.00128558	
583	Marker 33	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Mitochondria_ge	NA	0.000395268	
586	Marker 33	Proteobacteria	Alphaproteobacteria	SAR11_clade	Clade_I	Clade_Ia	NA	0.000775185	
652	Marker 33	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_unclassified	Gammaproteobacteria_unclassified	Gammaproteobacteria_unclassified	NA	0.001181966	
657	Marker 33	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Halomonadaceae_unclassified	NA	0.000383755	
658	Marker 33	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Halomonas	NA	0.00057947	
667	Marker 33	Proteobacteria	Gammaproteobacteria	SAR86_clade	SAR86_clade_fa	SAR86_clade_ge	NA	0.000771348	
675	Marker 33	Proteobacteria	Proteobacteria_unclassified	Proteobacteria_unclassified	Proteobacteria_unclassified	Proteobacteria_unclassified	NA	0.000464344	
698	Marker 33	Verrucomicrobia	Verrucomicrobiae	Opitutales	Puniceicoccaceae	MB11C04_marine_group	NA	0.000560282	
706	Marker 33	Aquificae	Aquificae_unclassified	Aquificae_unclassified	Aquificae_unclassified	Aquificae_unclassified	NA	0.436283508	
707	Marker 33	Aquificae	Desulfurobacteriia	Desulfurobacteriales	Desulfurobacteriaceae	Balnearium	NA	0.006166945	
708	Marker 33	Aquificae	Desulfurobacteriia	Desulfurobacteriales	Desulfurobacteriaceae	Desulfurobacteriaceae_unclassified	NA	9.526732093	
709	Marker 33	Aquificae	Desulfurobacteriia	Desulfurobacteriales	Desulfurobacteriaceae	Desulfurobacterium	NA	3.964025261	
710	Marker 33	Aquificae	Desulfurobacteriia	Desulfurobacteriales	Desulfurobacteriaceae	Thermovibrio	NA	0.851836566	
712	Marker 33	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	NA	1.020857666	
724	Marker 33	Epsilonbacteraeota	Campylobacteria	Nautiliales	Nautiliaceae	Caminibacter	NA	0.001784461	
728	Marker 33	Epsilonbacteraeota	Campylobacteria	Nautiliales	Nautiliaceae	Thioreductor	NA	0.00245987	
730	Marker 33	Eukaryota_unclassified	Eukaryota_unclassified	Eukaryota_unclassified	Eukaryota_unclassified	Eukaryota_unclassified	NA	0.429414292	
735	Marker 33	Euryarchaeota	Methanococci	Methanococcales	Methanocaldococcaceae	Methanocaldococcus	NA	0.001888075	
736	Marker 33	Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	Methanococcaceae_unclassified	NA	0.001926451	
737	Marker 33	Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	Methanotorris	NA	0.023259397	
738	Marker 33	Euryarchaeota	Methanococci	Methanococcales	Methanococcales_unclassified	Methanococcales_unclassified	NA	0.000606333	 
